tema,etiqueta,capitulo,fuente,orden,descripcion
ubicacion_geografica,Ubicación geográfica,A,censosbo,1,"Claves geográficas (departamento, provincia, municipio) y área urbana/rural. Extensión de censosbo: el INE no la lista como tema porque no son preguntas del cuestionario, pero son las variables con las que se filtra y agrupa casi cualquier análisis."
identificacion,Identificación de registros,A,censosbo,2,"Identificadores de vivienda, unidad censal y ficha. Extensión de censosbo: no son datos censales sino claves para unir tablas."
vivienda_hogar,Vivienda y hogar,B,INE-ANDA,3,"Tipo de vivienda, condición de ocupación, tenencia, número de habitaciones y dormitorios, hacinamiento y tipología del hogar. Incluye P12-P14 (cuartos) porque describen la vivienda, no su equipamiento; el desglose fino de las fichas sigue disponible en la columna `bloque`."
materiales_construccion,Materiales de construcción,C,censosbo,4,"Materiales de paredes, revoque, techos y pisos. Extensión de censosbo: el INE los incluye en `Vivienda y Hogar`, pero son 27 variables y las fichas de manzano ya los tratan como bloque propio (`material`), así que separarlos mantiene la correspondencia 1:1 con esos indicadores."
servicios_basicos,Servicios básicos del hogar,C,INE-ANDA,5,"Agua (origen y distribución), energía eléctrica, combustible para cocinar, eliminación de basura, baño o letrina y desagüe."
equipamiento_hogar,Equipamiento del hogar,C,INE-ANDA,6,"Bienes del hogar de transporte y electrodomésticos: bicicleta, motocicleta, vehículo, refrigerador, microondas, lavadora y otros. Pregunta 18 del CPV-2024."
tic,Tecnologías de la información y comunicación,C,INE-ANDA,7,"Radio, televisor, computadora, teléfono celular, internet fijo y móvil, TV por cable y telefonía fija. Pregunta 19 del CPV-2024."
emigracion_internacional,Emigración internacional,D,INE-ANDA,8,"Personas que vivían en el hogar y ahora residen en otro país: país de destino, sexo, año de salida y edad al emigrar."
mortalidad,Mortalidad,E,INE-ANDA,9,"Personas fallecidas en los cinco años previos al censo: mes y año, edad al morir, sexo y causa. En 2001 incluye las cuatro variables de mortalidad materna, que el INE agrupa aparte y viven en la tabla de vivienda (ver `grupo_ine`)."
poblacion,Población,G,INE-ANDA,10,"Sexo, edad, grupos de edad, parentesco con la jefatura del hogar y estado civil. P24 (parentesco) va aquí y no en `vivienda_hogar` porque es un atributo de la persona; la estructura del hogar se mira desde `tip_hog`. P53 (estado civil) también, porque los temas oficiales del INE no contemplan nupcialidad y lo sitúan en características demográficas."
ciudadania,Ciudadanía,G,INE-ANDA,11,"Inscripción en el registro civil y tenencia de cédula de identidad."
salud_seguridad_social,Salud y seguridad social,G,INE-ANDA,12,"Dónde acude la persona ante problemas de salud, afiliación a seguros y cobertura de salud."
discapacidad,Discapacidad,G,INE-ANDA,13,"Dificultad permanente para ver, oír, caminar y comunicarse o aprender, más la condición de discapacidad derivada."
educacion,Educación,G,INE-ANDA,14,"Alfabetismo, asistencia escolar, tipo de establecimiento, nivel educativo alcanzado y años de estudio."
idiomas,Idiomas,G,INE-ANDA,15,"Idiomas o lenguas que habla según mayor uso, e idioma materno."
autoidentificacion,Autoidentificación,G,INE-ANDA,16,Autoidentificación con alguna nación o pueblo indígena originario campesino o afroboliviano.
migracion,Migración,G,INE-ANDA,17,"Lugar de nacimiento, residencia habitual y residencia cinco años antes del censo, con sus códigos de departamento, provincia, municipio y país."
movilidad_trabajo,Movilidad cotidiana para trabajar,G,INE-ANDA,18,"Ubicación del lugar de trabajo y sus códigos geográficos. El INE lo separa de `caracteristicas_economicas` porque mide desplazamiento, no inserción laboral."
caracteristicas_economicas,Características económicas,G,INE-ANDA,19,"Condición de actividad, ocupación, categoría ocupacional y actividad económica, incluidas las derivaciones del INE según las clasificaciones 13ª y 19ª CIET."
fecundidad,Fecundidad,G,INE-ANDA,20,"Hijas e hijos nacidos vivos y sobrevivientes, edad al primer hijo, fecha del último nacimiento y atención del parto. P59 (quién atendió el parto) va aquí y no en salud para mantener íntegro el bloque P54-P59; quien prefiera la otra lectura puede aislarla con `pregunta_num == 59`."
religion,Religión,G,censosbo,21,"Pertenencia religiosa del hogar. Extensión de censosbo: solo el CNPV-1992 incluyó esta pregunta, y el vocabulario temático del INE no la contempla, pero son cinco variables reales que necesitan un tema propio."
